Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,177.080002,184.929993,175.500000,184.830002,173.866272,52177700
2017-05-01,184.229996,188.259995,175.470001,187.630005,176.500198,66022900
2017-06-01,187.410004,204.389999,184.529999,197.750000,187.443939,64606400
2017-07-01,198.070007,246.490005,197.750000,242.460007,229.823807,75175600
2017-08-01,243.380005,243.990005,230.940002,239.660004,227.169739,84525400
2017-09-01,239.660004,259.299988,234.289993,254.210007,242.398621,76743100
2017-10-01,254.649994,267.209991,253.529999,257.980011,245.993469,68772900
2017-11-01,258.290009,277.040009,256.239990,276.799988,263.938995,52751800
2017-12-01,277.510010,299.329987,270.600006,294.910004,282.719269,71520900
2018-01-01,295.750000,360.970001,295.399994,354.369995,339.721344,125945500
2018-02-01,352.950012,371.600006,317.390015,362.209991,347.237305,116097000
2018-03-01,362.329987,362.739990,311.170013,327.880005,315.878052,138587800
2018-04-01,325.200012,347.670013,311.880005,333.559998,321.350098,103765100
2018-05-01,332.500000,365.000000,319.130005,352.160004,339.269257,85713100
2018-06-01,355.790009,374.480011,327.290009,335.510010,324.841125,84391800
2018-07-01,330.690002,364.540009,329.100006,356.299988,344.970062,60241500
2018-08-01,354.089996,357.910004,328.029999,342.790009,331.889618,62969600
2018-09-01,341.600006,374.220001,337.309998,371.899994,361.853149,64530500
2018-10-01,375.160004,394.279999,328.630005,354.859985,345.273468,100261700
2018-11-01,357.470001,373.700012,296.609985,346.760010,337.392303,85447700
2018-12-01,364.309998,369.000000,292.470001,322.500000,315.236725,91168000
2019-01-01,316.190002,391.970001,309.399994,385.619995,376.935120,90783300
2019-02-01,386.109985,441.420013,384.730011,439.959991,430.051270,76882600
2019-03-01,446.010010,446.010010,361.529999,381.420013,374.702728,256769400
2019-04-01,385.799988,398.660004,362.920013,377.690002,371.038422,141408400
2019-05-01,378.529999,381.200012,337.000000,341.609985,335.593811,102803500
2019-06-01,338.200012,379.309998,330.670013,364.010010,359.653778,80828800
2019-07-01,364.880005,382.480011,336.559998,341.179993,337.096985,104187800
2019-08-01,341.910004,369.690002,319.549988,364.089996,359.732819,95712300
2019-09-01,354.109985,391.000000,350.609985,380.470001,378.262512,78398300
2019-10-01,381.700012,382.850006,324.399994,339.910004,337.937866,112287600
2019-11-01,340.589996,375.600006,339.500000,366.179993,364.055420,86725600
2019-12-01,367.079987,367.380005,338.500000,341.670013,341.670013,43698800
2019-12-13,346.299988,349.309998,341.100006,341.670013,341.670013,4530563
